Date,Open,High,Low,Close,Volume,Adj Close
2017-04-13,122.540001,122.650002,122.029999,122.599998,9792800,122.599998
2017-04-12,121.379997,122.220001,121.139999,122.019997,9236100,122.019997
2017-04-11,120.330002,121.400002,120.290001,121.190002,12428200,121.190002
2017-04-10,119.040001,119.690002,118.849998,119.459999,4608400,119.459999
2017-04-07,120.300003,120.669998,119.139999,119.459999,12228500,119.459999
2017-04-06,119.220001,119.419998,118.980003,119.18,4556600,119.18
2017-04-05,118.620003,119.629997,118.400002,119.620003,8032600,119.620003
2017-04-04,119.589996,119.769997,119.379997,119.620003,4580500,119.620003
2017-04-03,118.690002,119.370003,118.669998,119.349998,6068500,119.349998
2017-03-31,118.610001,119.080002,118.459999,118.720001,8204000,118.720001
2017-03-30,118.769997,119.120003,118.32,118.470001,6851100,118.470001
2017-03-29,119.220001,119.449997,119.050003,119.330002,4905700,119.330002
2017-03-28,119.739998,119.830002,118.779999,119.040001,7052300,119.040001
2017-03-27,119.93,120.080002,119.269997,119.529999,8516000,119.529999
2017-03-24,118.50,119.209999,118.389999,118.860001,6860600,118.860001
2017-03-23,119.150002,119.25,118.32,118.669998,6144000,118.669998
2017-03-22,118.870003,119.150002,118.68,118.830002,7273800,118.830002
2017-03-21,117.769997,118.800003,117.760002,118.540001,9498000,118.540001
2017-03-20,117.309998,117.599998,117.209999,117.510002,3744400,117.510002
2017-03-17,117.040001,117.269997,116.910004,116.989998,4503100,116.989998
2017-03-16,117.269997,117.290001,116.690002,116.730003,9311500,116.730003
2017-03-15,114.290001,116.25,114.019997,116.25,13433100,116.25
2017-03-14,114.540001,115.010002,114.029999,114.120003,5254200,114.120003
2017-03-13,114.629997,114.910004,114.510002,114.739998,5713200,114.739998
2017-03-10,114.449997,114.730003,114.129997,114.720001,7593900,114.720001
2017-03-09,114.779999,115.029999,114.410004,114.470001,6357300,114.470001
2017-03-08,114.989998,115.360001,114.949997,115.059998,7585800,115.059998
2017-03-07,116.129997,116.25,115.620003,115.779999,6783200,115.779999
2017-03-06,117.349998,117.349998,116.629997,116.720001,4860900,116.720001
2017-03-03,116.949997,117.730003,116.440002,117.510002,10536000,117.510002
2017-03-02,117.760002,118.339996,117.230003,117.580002,10860900,117.580002
2017-03-01,117.980003,119.120003,117.949997,119.059998,8601800,119.059998
2017-02-28,119.709999,119.839996,118.82,119.230003,8440900,119.230003
2017-02-27,119.730003,120.400002,119.120003,119.120003,9047500,119.120003
2017-02-24,119.739998,119.879997,119.25,119.699997,9576300,119.699997
2017-02-23,118.760002,119.160004,118.68,118.940002,7329000,118.940002
2017-02-22,117.860001,118.019997,117.239998,117.910004,6053700,117.910004
2017-02-21,117.040001,118.00,116.769997,117.75,6022500,117.75
2017-02-17,118.190002,118.400002,117.620003,117.68,7060700,117.68
2017-02-16,117.93,118.349998,117.830002,118.080002,6313800,118.080002
2017-02-15,116.330002,117.480003,116.25,117.449997,7070100,117.449997
2017-02-14,117.510002,117.559998,116.379997,116.93,6920800,116.93
2017-02-13,116.730003,116.949997,116.150002,116.800003,7325200,116.800003
2017-02-10,116.68,117.860001,116.669998,117.599998,8746200,117.599998
2017-02-09,118.190002,118.580002,117.199997,117.290001,8137400,117.290001
2017-02-08,118.089996,118.589996,117.809998,118.190002,9581300,118.190002
2017-02-07,117.309998,117.739998,117.199997,117.459999,8582300,117.459999
2017-02-06,117.07,117.739998,116.739998,117.699997,8463900,117.699997
2017-02-03,115.730003,116.370003,115.709999,116.129997,8867500,116.129997
2017-02-02,116.260002,116.57,115.629997,115.839996,7140200,115.839996
2017-02-01,114.660004,115.449997,114.139999,115.199997,6908500,115.199997
2017-01-31,115.269997,115.82,115.18,115.550003,10290200,115.550003
2017-01-30,113.610001,114.300003,113.540001,113.970001,7674100,113.970001
2017-01-27,112.93,113.550003,112.809998,113.489998,6427200,113.489998
2017-01-26,113.239998,113.510002,112.830002,113.260002,5354100,113.260002
2017-01-25,114.139999,114.440002,113.68,114.32,6678700,114.32
2017-01-24,115.690002,116.019997,114.940002,115.269997,5721700,115.269997
2017-01-23,115.510002,116.169998,115.199997,115.790001,6140300,115.790001
2017-01-20,114.650002,115.760002,114.32,115.050003,11416400,115.050003
2017-01-19,114.32,114.959999,113.940002,114.769997,6322600,114.769997
2017-01-18,115.739998,115.919998,114.559998,114.870003,6153500,114.870003
2017-01-17,115.889999,115.959999,115.50,115.849998,9108900,115.849998
2017-01-13,113.650002,114.309998,113.190002,114.209999,7121900,114.209999
2017-01-12,114.519997,114.93,113.809998,113.910004,8454200,113.910004
2017-01-11,112.870003,114.190002,112.169998,113.50,9912400,113.50
2017-01-10,112.940002,113.449997,112.639999,113.150002,6063600,113.150002
2017-01-09,112.389999,113.040001,112.18,112.669998,5353200,112.669998
2017-01-06,111.809998,112.379997,111.57,111.75,6763700,111.75
2017-01-05,112.160004,112.940002,112.07,112.580002,8542300,112.580002
2017-01-04,111.059998,111.220001,110.610001,110.860001,4876800,110.860001
2017-01-03,109.620003,111.00,109.370003,110.470001,7523900,110.470001
2016-12-30,110.379997,110.620003,109.529999,109.610001,8797200,109.610001
2016-12-29,109.230003,110.529999,109.160004,110.290001,7513500,110.290001
2016-12-28,108.400002,108.910004,108.290001,108.860001,5080400,108.860001
2016-12-27,108.610001,108.669998,108.239998,108.559998,3628100,108.559998
2016-12-23,107.839996,108.25,107.800003,107.93,5008300,107.93
2016-12-22,107.68,108.099998,107.489998,107.589996,4924300,107.589996
2016-12-21,108.25,108.309998,107.68,107.849998,4977100,107.849998
2016-12-20,107.470001,108.00,107.290001,107.790001,7203600,107.790001
2016-12-19,108.599998,108.879997,108.339996,108.589996,5140700,108.589996
2016-12-16,107.949997,108.779999,107.480003,108.050003,9817300,108.050003
2016-12-15,107.849998,107.989998,107.00,107.339996,14395600,107.339996
2016-12-14,110.949997,110.980003,108.519997,108.830002,12843700,108.830002
2016-12-13,110.57,110.790001,110.059998,110.449997,7919300,110.449997
2016-12-12,110.589996,111.110001,110.269997,110.82,6048500,110.82
2016-12-09,111.18,111.25,110.190002,110.400002,10405700,110.400002
2016-12-08,111.720001,111.870003,111.459999,111.57,5869500,111.57
2016-12-07,112.129997,112.50,111.769997,111.830002,4816800,111.830002
2016-12-06,111.690002,112.029999,111.190002,111.43,5500500,111.43
2016-12-05,111.150002,112.110001,110.309998,111.540001,9717000,111.540001
2016-12-02,111.889999,112.32,111.779999,112.139999,6919100,112.139999
2016-12-01,111.110001,111.989998,110.629997,111.540001,10184200,111.540001
2016-11-30,112.690002,112.790001,111.50,111.75,10871100,111.75
2016-11-29,112.760002,113.480003,112.690002,113.269997,7366700,113.269997
2016-11-28,113.230003,113.839996,112.769997,113.800003,5601200,113.800003
2016-11-25,113.419998,113.510002,112.349998,112.610001,5343200,112.610001
2016-11-23,113.870003,113.879997,112.650002,113.25,20864900,113.25
2016-11-22,115.720001,115.790001,114.980003,115.540001,5406100,115.540001
2016-11-21,115.720001,115.940002,115.290001,115.580002,6587000,115.580002
